,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123
0,1,3,3,2,3,2,2,4,3,3,2,3,2,3,4,4
1,1,1,1,2,2,3,1,2,2,3,2,2,2,3,2,2
2,3,2,2,2,3,4,3,2,2,2,3,4,3,2,3,2
3,2,3,4,2,3,4,2,3,3,4,2,2,2,3,1,2
4,2,3,3,2,4,3,2,3,3,3,2,3,3,2,4,3
5,2,3,3,2,3,-2,3,4,3,2,4,4,3,2,1,3
6,2,4,4,2,3,4,3,1,3,3,2,4,3,2,4,2
7,2,1,1,1,2,3,2,2,3,3,2,3,2,3,2,4
8,4,4,4,3,2,4,4,3,1,2,2,2,2,2,1,3
9,3,3,3,4,3,2,1,3,3,2,4,3,2,3,2,4
10,3,2,3,2,3,4,3,2,3,3,2,3,2,3,4,3
11,2,4,3,2,3,2,4,3,3,4,4,4,2,3,2,2
12,1,2,2,2,3,2,4,3,2,3,2,2,2,3,1,2
13,1,2,2,2,3,4,3,3,2,2,2,3,2,4,3,3
14,2,4,3,2,4,3,3,4,2,3,2,3,2,3,4,3
15,1,2,2,2,3,4,2,2,2,3,1,2,2,3,4,2
16,2,4,3,2,4,3,3,2,4,3,1,2,3,2,3,3
17,2,4,3,2,4,3,4,2,3,3,4,3,2,3,2,4
18,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3
19,3,3,3,4,3,3,3,2,4,3,3,4,2,3,4,3
20,1,1,3,3,4,1,1,-2,-2,-2,-2,1,-2,-2,-2,4
21,1,1,4,2,-2,1,1,-2,-2,-2,3,1,1,1,3,4
22,1,1,1,1,4,1,1,-2,-2,-2,2,1,1,1,3,4
23,1,1,1,1,2,1,1,1,4,-2,1,1,-2,-2,-2,-2
24,1,1,1,1,3,1,1,4,4,4,1,1,1,1,3,3
25,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
26,1,2,2,2,1,1,1,1,1,3,2,2,3,3,1,1
27,2,2,2,4,1,1,1,2,2,2,1,1,1,2,4,2
28,1,2,4,4,-2,1,1,1,-2,-2,1,1,-2,3,4,4
29,1,1,3,1,-2,1,1,2,4,2,2,1,1,4,1,4
30,1,3,3,3,3,3,3,3,3,3,3,1,4,4,4,4
31,1,1,2,2,2,2,2,2,3,4,1,1,1,1,2,2
32,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4
33,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2
34,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
35,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4
36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
37,4,4,4,4,4,4,4,4,4,4,4,4,-2,-2,-2,-2
38,4,4,4,4,4,4,4,4,4,4,4,4,-2,-2,-2,-2
39,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
40,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3
41,2,3,3,3,3,3,4,3,4,3,2,3,3,3,3,3
42,1,1,3,3,4,3,4,4,4,4,4,3,3,3,3,-2
43,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
44,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,4,4,4,4
45,1,1,2,2,2,2,2,1,3,3,2,3,1,2,2,-2
46,3,3,4,3,3,3,3,3,4,4,3,3,4,4,3,3
47,3,2,3,2,3,2,2,2,2,2,2,2,3,3,3,3
48,3,3,3,2,4,2,3,3,4,-2,3,-2,4,-2,-2,-2
49,1,1,3,3,1,1,2,2,3,3,2,2,3,3,2,2
50,3,1,4,3,3,2,2,3,3,3,2,2,3,3,3,2
51,4,3,4,3,4,4,4,4,4,4,4,4,1,3,4,4
52,2,3,3,2,3,2,2,2,3,3,3,3,2,2,2,-2
53,2,3,3,2,3,3,3,2,4,3,2,3,2,1,3,2
54,3,4,3,2,2,3,2,3,3,4,3,3,3,3,2,4
55,2,3,4,4,3,3,3,3,4,4,3,2,3,3,3,4
56,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
57,2,3,3,3,3,3,3,3,4,4,4,3,2,2,3,4
58,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3
59,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,3
60,3,4,4,4,-2,4,4,4,4,4,4,4,3,3,2,3
61,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2
62,1,2,3,4,3,2,2,2,3,2,3,3,3,3,3,3
63,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
64,-2,3,3,3,3,3,3,-2,-2,-2,3,3,2,2,3,2
65,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
66,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3
67,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2
68,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
69,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
70,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
71,3,3,4,3,4,3,3,3,4,4,4,4,4,3,-2,2
72,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
73,3,3,4,3,4,3,3,3,4,4,4,4,4,3,-2,2
74,3,-2,-2,3,3,3,3,4,4,4,4,4,4,4,4,-2
75,2,2,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
76,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
77,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,4
78,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
79,3,3,3,2,3,3,3,3,3,3,3,3,-2,-2,-2,4
80,2,3,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2
81,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
82,3,3,4,3,4,3,3,3,4,4,4,4,4,3,-2,2
83,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
84,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
85,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
86,-2,-2,-2,3,3,3,3,3,4,4,4,4,4,4,4,-2
87,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
88,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
89,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,4
90,-2,-2,-2,3,4,3,3,3,4,4,4,4,4,3,-2,2
91,3,3,4,3,4,3,3,3,4,4,4,4,4,3,-2,2
92,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
93,3,3,4,3,4,3,3,3,4,4,4,4,4,3,-2,2
94,-2,-2,-2,3,3,3,3,3,4,4,4,4,4,4,4,-2
95,3,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
96,2,3,3,3,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,2
97,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,4
98,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
99,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,4
100,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
101,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
102,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,2,2
103,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
104,-2,-2,-2,3,3,3,3,3,4,4,4,4,4,4,4,4
105,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
106,3,3,4,3,4,3,3,3,4,4,4,4,4,3,-2,2
107,3,3,4,3,4,3,3,3,4,4,4,4,4,3,-2,2
108,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
109,3,3,4,3,4,3,3,3,4,4,4,4,4,3,-2,2
110,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
111,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
112,3,3,4,3,4,3,3,3,4,4,4,4,4,3,-2,2
113,2,2,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
114,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
115,-2,-2,-2,3,3,3,3,3,4,4,4,4,4,4,4,-2
116,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
117,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,4
118,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
119,2,3,3,3,3,-2,-2,-2,-2,-2,-2,3,3,-2,-2,2
120,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,2,-2,2
121,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
122,3,3,4,3,4,3,3,3,4,4,4,4,4,3,-2,2
123,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
124,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
125,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
126,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,-2,-2,2
127,-2,-2,-2,3,3,3,3,3,4,4,4,4,4,4,4,-2
128,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
129,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
130,2,2,3,3,2,1,3,3,4,4,2,2,3,3,3,3
131,2,2,3,3,3,2,3,2,3,3,4,3,3,3,3,4
132,1,1,3,3,-2,1,3,3,3,-2,3,2,-2,3,-2,-2
133,2,2,3,3,-2,1,3,3,3,3,3,2,4,4,4,4
134,1,1,3,3,4,2,3,3,4,4,4,2,3,3,4,4
