Rank,title,year,rating
1,Planet Earth II(2016),2016,9.4
2,Breaking Bad(2008),2008,9.4
3,Planet Earth(2006),2006,9.4
4,Band of Brothers(2001),2001,9.4
5,Chernobyl(2019),2019,9.3
6,The Wire(2002),2002,9.3
7,Blue Planet II(2017),2017,9.2
8,Avatar: The Last Airbender(2005),2005,9.2
9,Cosmos: A Spacetime Odyssey(2014),2014,9.2
10,The Sopranos(1999),1999,9.2
11,Cosmos(1980),1980,9.2
12,Our Planet(2019),2019,9.2
13,Game of Thrones(2011),2011,9.1
14,The World at War(1973),1973,9.1
15,Rick and Morty(2013),2013,9.1
16,Hagane no renkinjutsushi(2009),2009,9.0
17,The Last Dance(2020),2020,9.0
18,Life(2009),2009,9.0
19,Sherlock(2010),2010,9.0
20,The Twilight Zone(1959),1959,9.0
21,The Vietnam War(2017),2017,9.0
22,Bluey(2018),2018,9.0
23,Batman: The Animated Series(1992),1992,9.0
24,Scam 1992: The Harshad Mehta Story(2020),2020,8.9
25,Arcane: League of Legends(2021),2021,8.9
26,The Blue Planet(2001),2001,8.9
27,Shingeki no Kyojin(2013),2013,8.9
28,The Office(2005),2005,8.9
29,Firefly(2002),2002,8.9
30,Human Planet(2011),2011,8.9
31,Frozen Planet(2011),2011,8.9
32,Death Note: Desu nôto(2006),2006,8.9
33,Only Fools and Horses,1981,8.9
34,The Civil War(1990),1990,8.9
35,Better Call Saul(2015),2015,8.9
36,True Detective(2014),2014,8.9
37,Hunter x Hunter(2011),2011,8.9
38,Seinfeld(1989),1989,8.9
39,Sahsiyet(2018),2018,8.9
40,Dekalog(1989),1989,8.9
41,The Beatles: Get Back(2021),2021,8.9
42,Fargo(2014),2014,8.9
43,Kaubôi bibappu(1998),1998,8.9
44,Clarkson's Farm(2021),2021,8.8
45,Nathan for You(2013),2013,8.8
46,Gravity Falls(2012),2012,8.8
47,When They See Us(2019),2019,8.8
48,Last Week Tonight with John Oliver(2014),2014,8.8
49,Friends(1994),1994,8.8
50,Africa(2013),2013,8.8
51,TVF Pitchers(2015),2015,8.8
52,Apocalypse: La 2ème guerre mondiale(2009),2009,8.8
53,Monty Python's Flying Circus(1969),1969,8.8
54,It's Always Sunny in Philadelphia(2005),2005,8.8
55,Taskmaster(2015),2015,8.8
56,Das Boot(1985),1985,8.8
57,The West Wing(1999),1999,8.8
58,Curb Your Enthusiasm(2000),2000,8.8
59,Gibi(2021),2021,8.8
60,Fawlty Towers(1975),1975,8.8
61,Leyla ile Mecnun(2011),2011,8.8
62,Pride and Prejudice(1995),1995,8.8
63,Freaks and Geeks(1999),1999,8.8
64,Blackadder Goes Forth(1989),1989,8.7
65,Twin Peaks(1990),1990,8.7
66,Black Mirror(2011),2011,8.7
67,BoJack Horseman(2014),2014,8.7
68,Narcos(2015),2015,8.7
69,Succession(2018),2018,8.7
70,Dragon Ball Z(1989),1989,8.7
71,Chappelle's Show(2003),2003,8.7
72,One Piece: Wan pîsu(1999),1999,8.7
73,Dragon Ball Z: Doragon bôru zetto(1989),1989,8.7
74,"I, Claudius(1976)",1976,8.7
75,South Park(1997),1997,8.7
76,Rome(2005),2005,8.7
77,Over the Garden Wall(2014),2014,8.7
