rating,movie,year,country,rating_ball,overview,director,screenwriter,actors,url_logo
0,Побег из Шоушенка ,1994,США,9.111,Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк; он сталкивается с жестокостью и беззаконием; царящими по обе стороны решётки. Каждый; кто попадает в эти стены; становится их рабом до конца жизни. Но Энди; обладающий живым умом и доброй душой; находит подход как к заключённым; так и к охранникам; добиваясь их особого к себе расположения., Фрэнк Дарабонт, Фрэнк Дарабонт;  Стивен Кинг,Тим Роббинс; Морган Фриман; Боб Гантон; Уильям Сэдлер; Клэнси Браун,'https://st.kp.yandex.net/images/film_iphone/iphone360_326.jpg'
1,Зеленая миля ,1999,США,9.062,Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора»; каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи; обвинённый в страшном преступлении; стал одним из самых необычных обитателей блока., Фрэнк Дарабонт, Фрэнк Дарабонт;  Стивен Кинг,Том Хэнкс; Дэвид Морс; Бонни Хант; Майкл Кларк Дункан; Джеймс Кромуэлл,'https://st.kp.yandex.net/images/film_iphone/iphone360_435.jpg'
2,Форрест Гамп ,1994,США,8.913,От лица главного героя Форреста Гампа; слабоумного безобидного человека с благородным и открытым сердцем; рассказывается история его необыкновенной жизни.Фантастическим образом превращается он в известного футболиста; героя войны; преуспевающего бизнесмена. Он становится миллиардером; но остается таким же бесхитростным; глупым и добрым. Форреста ждет постоянный успех во всем; а он любит девочку; с которой дружил в детстве; но взаимность приходит слишком поздно., Роберт Земекис, Эрик Рот;  Уинстон Грум,Том Хэнкс; Робин Райт; Салли Филд; Гэри Синиз; Майкелти Уильямсон,'https://st.kp.yandex.net/images/film_iphone/iphone360_448.jpg'
3,Список Шиндлера ,1993,США,8.817,Фильм рассказывает реальную историю загадочного Оскара Шиндлера; члена нацистской партии; преуспевающего фабриканта; спасшего во время Второй мировой войны почти 1200 евреев., Стивен Спилберг, Стивен Зеллиан;  Томас Кенилли,Лиам Нисон; Бен Кингсли; Рэйф Файнс; Кэролайн Гудолл; Эмбет Дэвидц,'https://st.kp.yandex.net/images/film_iphone/iphone360_329.jpg'
4,1+1 ,2011,Франция,8.807,Пострадав в результате несчастного случая; богатый аристократ Филипп нанимает в помощники человека; который менее всего подходит для этой работы; — молодого жителя предместья Дрисса; только что освободившегося из тюрьмы. Несмотря на то; что Филипп прикован к инвалидному креслу; Дриссу удается привнести в размеренную жизнь аристократа дух приключений., Оливье Накаш;  Эрик Толедано, Оливье Накаш;  Филипп Поццо ди Борго;  Эрик Толедано,Франсуа Клюзе; Омар Си; Анн Ле Ни; Одри Флеро; Жозефин де Мо,'https://st.kp.yandex.net/images/film_iphone/iphone360_535341.jpg'
5,Начало ,2010,США,8.662,Кобб — талантливый вор; лучший из лучших в опасном искусстве извлечения: он крадет ценные секреты из глубин подсознания во время сна; когда человеческий разум наиболее уязвим. Редкие способности Кобба сделали его ценным игроком в привычном к предательству мире промышленного шпионажа; но они же превратили его в извечного беглеца и лишили всего; что он когда-либо любил. И вот у Кобба появляется шанс исправить ошибки. Его последнее дело может вернуть все назад; но для этого ему нужно совершить невозможное — инициацию. Вместо идеальной кражи Кобб и его команда спецов должны будут провернуть обратное. Теперь их задача — не украсть идею; а внедрить ее. Если у них получится; это и станет идеальным преступлением. Но никакое планирование или мастерство не могут подготовить команду к встрече с опасным противником; который; кажется; предугадывает каждый их ход. Врагом; увидеть которого мог бы лишь Кобб., Кристофер Нолан, Кристофер Нолан,Леонардо ДиКаприо; Джозеф Гордон-Левитт; Эллен Пейдж; Том Харди; Кэн Ватанабэ,'https://st.kp.yandex.net/images/film_iphone/iphone360_447301.jpg'
6,Леон ,1994,Франция,8.681,Профессиональный убийца Леон; не знающий пощады и жалости; знакомится со своей очаровательной соседкой Матильдой; семью которой расстреливают полицейские; замешанные в торговле наркотиками. Благодаря этому знакомству он впервые испытывает чувство любви; но…, Люк Бессон, Люк Бессон,Жан Рено; Гари Олдман; Натали Портман; Дэнни Айелло; Питер Эппел,'https://st.kp.yandex.net/images/film_iphone/iphone360_389.jpg'
7,Король Лев ,1994,США,8.772,У величественного Короля-Льва Муфасы рождается наследник по имени Симба. Уже в детстве любознательный малыш становится жертвой интриг своего завистливого дяди Шрама; мечтающего о власти.Симба познаёт горе утраты; предательство и изгнание; но в конце концов обретает верных друзей и находит любимую. Закалённый испытаниями; он в нелёгкой борьбе отвоёвывает своё законное место в «Круге жизни»; осознав; что значит быть настоящим Королём., Роджер Аллерс;  Роб Минкофф, Ирен Меччи;  Джонатан Робертс;  Линда Вулвертон; ...,Мэттью Бродерик; Джереми Айронс; Нэйтан Лейн; Эрни Сабелла; Джеймс Эрл Джонс,'https://st.kp.yandex.net/images/film_iphone/iphone360_2360.jpg'
8,Бойцовский клуб ,1999,США,8.645,Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен; что самосовершенствование — удел слабых; а единственное; ради чего стоит жить — саморазрушение.Проходит немного времени; и вот уже новые друзья лупят друг друга почем зря на стоянке перед баром; и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости; они основывают тайный Бойцовский клуб; который начинает пользоваться невероятной популярностью., Дэвид Финчер, Джим Улс;  Чак Паланик,Эдвард Нортон; Брэд Питт; Хелена Бонем Картер; Мит Лоаф; Зэк Гренье,'https://st.kp.yandex.net/images/film_iphone/iphone360_361.jpg'
9,Иван Васильевич меняет профессию ,1973,СССР,8.782,Инженер-изобретатель Тимофеев сконструировал машину времени; которая соединила его квартиру с далеким шестнадцатым веком — точнее; с палатами государя Ивана Грозного. Туда-то и попадают тезка царя пенсионер-общественник Иван Васильевич Бунша и квартирный вор Жорж Милославский.На их место в двадцатом веке «переселяется» великий государь. Поломка машины приводит ко множеству неожиданных и забавных событий…, Леонид Гайдай, Владлен Бахнов;  Леонид Гайдай;  Михаил Булгаков,Александр Демьяненко; Юрий Яковлев; Леонид Куравлёв; Наталья Крачковская; Савелий Крамаров,'https://st.kp.yandex.net/images/film_iphone/iphone360_42664.jpg'
