Dates,Primary Type,Location Description,Arrest,Domestic,Ward,Counts,District,Primary Types
2015-09-05,BATTERY,RESIDENCE,0,1,12.0,498,9,2
2015-09-04,THEFT,CTA BUS,0,0,29.0,179,15,29
2015-09-05,NARCOTICS,SIDEWALK,1,0,35.0,498,14,17
2015-09-05,ASSAULT,APARTMENT,0,1,28.0,498,15,1
2015-09-05,BURGLARY,RESIDENCE,0,0,21.0,498,6,3
2015-09-04,BURGLARY,RESIDENCE-GARAGE,0,0,32.0,179,14,3
2015-09-05,THEFT,GROCERY FOOD STORE,1,0,25.0,498,10,29
2015-09-05,ROBBERY,STREET,0,1,27.0,498,12,26
2015-09-05,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,13.0,498,8,29
2015-09-05,BATTERY,SMALL RETAIL STORE,0,0,45.0,498,16,2
2015-09-05,OTHER OFFENSE,APARTMENT,0,1,34.0,498,5,22
2015-09-05,BATTERY,STREET,0,1,4.0,498,2,2
2015-09-03,THEFT,STREET,0,0,1.0,104,14,29
2015-09-05,BATTERY,APARTMENT,0,0,21.0,498,6,2
2015-09-05,CRIMINAL DAMAGE,STREET,0,0,28.0,498,15,6
2015-07-08,BURGLARY,OTHER,0,0,10.0,7,4,3
2015-09-05,BURGLARY,RESIDENCE,1,0,21.0,498,22,3
2015-09-05,BATTERY,STREET,0,1,38.0,498,16,2
2015-09-04,CRIMINAL DAMAGE,STREET,0,0,10.0,179,4,6
2015-09-02,CRIMINAL DAMAGE,RESIDENCE-GARAGE,0,0,45.0,64,16,6
2015-09-04,CRIMINAL DAMAGE,STREET,0,0,10.0,179,4,6
2015-09-05,ROBBERY,SIDEWALK,0,0,5.0,498,3,26
2015-09-03,CRIMINAL DAMAGE,STREET,0,0,10.0,104,4,6
2015-09-05,ASSAULT,APARTMENT,0,1,7.0,498,4,1
2015-09-05,BATTERY,APARTMENT,0,1,7.0,498,4,2
2015-09-04,ROBBERY,SIDEWALK,0,0,7.0,179,4,26
2015-09-03,THEFT,VEHICLE NON-COMMERCIAL,0,0,7.0,104,4,29
2015-09-05,THEFT,RESTAURANT,0,0,2.0,498,1,29
2015-09-05,BATTERY,RESIDENCE PORCH/HALLWAY,1,0,20.0,498,7,2
2015-09-04,THEFT,STREET,0,0,1.0,179,12,29
2015-09-05,BURGLARY,APARTMENT,0,0,2.0,498,11,3
2015-09-05,OTHER OFFENSE,RESIDENCE,0,1,13.0,498,8,22
2015-09-05,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,13.0,498,8,29
2015-09-05,ASSAULT,SIDEWALK,1,0,39.0,498,17,1
2015-09-02,OTHER OFFENSE,VEHICLE NON-COMMERCIAL,0,1,7.0,64,4,22
2015-09-05,OTHER OFFENSE,SIDEWALK,1,0,24.0,498,10,22
2015-09-05,ROBBERY,STREET,0,0,40.0,498,20,26
2015-09-05,NARCOTICS,ALLEY,1,0,6.0,498,7,17
2015-09-05,WEAPONS VIOLATION,SIDEWALK,1,0,37.0,498,25,30
2015-09-04,THEFT,OTHER,0,0,6.0,179,7,29
2015-09-05,CRIMINAL DAMAGE,STREET,0,0,20.0,498,7,6
2015-09-04,BATTERY,RESIDENCE PORCH/HALLWAY,0,0,16.0,179,7,2
2015-09-05,WEAPONS VIOLATION,STREET,1,0,29.0,498,15,30
2015-09-01,DECEPTIVE PRACTICE,RESTAURANT,0,0,42.0,66,18,9
2015-09-05,BATTERY,APARTMENT,1,1,16.0,498,7,2
2015-09-05,NARCOTICS,SIDEWALK,1,0,28.0,498,11,17
2015-09-05,WEAPONS VIOLATION,RESIDENCE,0,0,6.0,498,3,30
2015-09-03,WEAPONS VIOLATION,STREET,0,0,2.0,104,11,30
2015-09-05,CRIMINAL TRESPASS,RESTAURANT,0,0,46.0,498,19,8
2015-09-05,MOTOR VEHICLE THEFT,STREET,0,0,46.0,498,19,16
2015-09-05,BATTERY,APARTMENT,0,0,6.0,498,6,2
2015-02-02,DECEPTIVE PRACTICE,OTHER,0,0,23.0,2,8,9
2015-09-05,OTHER OFFENSE,RESIDENCE,0,1,39.0,498,17,22
2015-09-04,THEFT,RESTAURANT,0,0,42.0,179,18,29
2015-09-05,THEFT,LIBRARY,0,0,2.0,498,1,29
2015-09-03,DECEPTIVE PRACTICE,RESIDENCE,0,0,27.0,104,11,9
2015-09-05,THEFT,VEHICLE NON-COMMERCIAL,0,0,2.0,498,11,29
2015-09-05,NARCOTICS,STREET,1,0,34.0,498,5,17
2015-09-05,BATTERY,RESIDENCE,1,1,9.0,498,5,2
2015-09-04,BURGLARY,RESIDENCE,0,0,9.0,179,5,3
2015-09-05,THEFT,RESIDENCE,0,0,7.0,498,4,29
2015-08-30,THEFT,RESIDENCE-GARAGE,0,0,2.0,28,1,29
2015-09-04,CRIMINAL DAMAGE,STREET,0,0,39.0,179,17,6
2015-09-05,BATTERY,RESIDENCE,0,0,34.0,498,5,2
2015-09-05,THEFT,ATHLETIC CLUB,0,0,4.0,498,2,29
2015-09-05,THEFT,DRUG STORE,0,0,8.0,498,4,29
2015-09-05,DECEPTIVE PRACTICE,APARTMENT,0,0,27.0,498,11,9
2015-09-05,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,9.0,498,5,29
2015-09-05,NARCOTICS,STREET,1,0,16.0,498,7,17
2015-09-05,THEFT,STREET,1,0,27.0,498,18,29
2015-09-05,THEFT,STREET,0,0,19.0,498,22,29
2015-09-05,BURGLARY,RESIDENCE-GARAGE,0,0,45.0,498,16,3
2015-09-04,OTHER OFFENSE,APARTMENT,0,0,29.0,179,25,22
2015-09-04,OTHER OFFENSE,RESIDENCE,0,0,9.0,179,5,22
2015-09-04,BATTERY,PARK PROPERTY,0,0,27.0,179,12,2
2015-09-04,THEFT,RESIDENCE,0,1,16.0,179,9,29
2015-09-05,THEFT,STREET,0,0,16.0,498,9,29
2015-09-05,NARCOTICS,ALLEY,1,0,28.0,498,11,17
2015-09-05,THEFT,APARTMENT,0,0,27.0,498,12,29
2015-08-25,THEFT,STREET,0,0,50.0,17,24,29
2015-09-05,NARCOTICS,CHA PARKING LOT/GROUNDS,1,0,2.0,498,12,17
2015-09-05,THEFT,GROCERY FOOD STORE,1,0,25.0,498,10,29
2015-09-05,BATTERY,RESIDENCE,0,1,19.0,498,22,2
2015-09-05,THEFT,NURSING HOME/RETIREMENT HOME,0,0,42.0,498,18,29
2015-09-05,MOTOR VEHICLE THEFT,DRIVEWAY - RESIDENTIAL,0,0,24.0,498,10,16
2015-09-04,CRIMINAL DAMAGE,STREET,0,0,35.0,179,14,6
2015-09-04,OTHER OFFENSE,APARTMENT,0,1,13.0,179,8,22
2015-09-05,BURGLARY,RESIDENCE-GARAGE,0,0,32.0,498,19,3
2015-09-04,THEFT,RESIDENCE-GARAGE,0,0,3.0,179,1,29
2015-09-05,THEFT,SMALL RETAIL STORE,1,0,44.0,498,19,29
2015-09-05,CRIMINAL TRESPASS,GROCERY FOOD STORE,1,0,47.0,498,19,8
2015-09-05,SEX OFFENSE,SIDEWALK,1,0,24.0,498,11,27
2015-09-05,NARCOTICS,RESIDENCE,1,0,21.0,498,6,17
2015-09-05,CRIMINAL DAMAGE,STREET,0,0,32.0,498,12,6
2015-09-05,BATTERY,RESIDENTIAL YARD (FRONT/BACK),1,0,29.0,498,25,2
2015-09-05,BATTERY,RESIDENCE,1,1,7.0,498,4,2
2015-09-05,THEFT,RESIDENCE,0,0,29.0,498,25,29
2015-09-02,CRIMINAL DAMAGE,RESIDENCE,0,0,7.0,64,4,6
2015-09-05,CRIMINAL DAMAGE,RESIDENCE PORCH/HALLWAY,0,1,37.0,498,15,6
2015-09-05,BATTERY,APARTMENT,1,1,15.0,498,8,2
2015-09-04,ASSAULT,STREET,0,0,6.0,179,6,1
2015-09-05,CRIMINAL DAMAGE,COMMERCIAL / BUSINESS OFFICE,0,0,6.0,498,6,6
2015-09-05,NARCOTICS,SIDEWALK,1,0,2.0,498,11,17
2015-09-05,BATTERY,PARKING LOT/GARAGE(NON.RESID.),0,0,6.0,498,6,2
2015-09-05,BATTERY,APARTMENT,0,1,9.0,498,6,2
2015-09-05,THEFT,APARTMENT,0,0,6.0,498,6,29
2015-09-04,THEFT,RESTAURANT,0,0,21.0,179,5,29
2015-08-17,THEFT,STREET,0,0,32.0,12,19,29
2015-09-05,BATTERY,RESIDENCE,0,1,19.0,498,22,2
2015-08-30,THEFT,RESIDENCE-GARAGE,0,0,2.0,28,1,29
2015-09-05,MOTOR VEHICLE THEFT,STREET,0,0,1.0,498,14,16
2015-09-05,THEFT,DEPARTMENT STORE,0,0,2.0,498,1,29
2015-09-05,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),0,0,2.0,498,1,6
2015-09-05,INTERFERENCE WITH PUBLIC OFFICER,STREET,0,0,28.0,498,11,12
2015-09-05,BATTERY,HOTEL/MOTEL,1,0,37.0,498,15,2
2015-09-03,CRIMINAL DAMAGE,RESIDENCE,0,0,4.0,104,2,6
2015-09-04,THEFT,RESTAURANT,0,0,42.0,179,1,29
2015-08-30,DECEPTIVE PRACTICE,STREET,0,0,11.0,28,9,9
2015-09-05,THEFT,GROCERY FOOD STORE,0,0,48.0,498,20,29
2015-09-05,THEFT,OTHER,0,0,21.0,498,6,29
2015-09-05,THEFT,DEPARTMENT STORE,1,0,37.0,498,25,29
2015-08-31,DECEPTIVE PRACTICE,APARTMENT,0,0,27.0,25,11,9
2015-09-05,BATTERY,APARTMENT,0,1,29.0,498,25,2
2015-09-05,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,49.0,498,24,16
2015-09-05,BATTERY,STREET,1,1,24.0,498,15,2
2015-09-05,THEFT,SIDEWALK,0,0,21.0,498,5,29
2015-09-05,THEFT,OTHER,0,0,42.0,498,1,29
2015-09-04,BURGLARY,RESIDENCE,1,0,45.0,179,16,3
2015-09-04,THEFT,STREET,0,0,26.0,179,12,29
2015-09-01,OFFENSE INVOLVING CHILDREN,APARTMENT,0,0,27.0,66,11,20
2015-09-05,BATTERY,APARTMENT,0,1,15.0,498,7,2
2015-09-05,MOTOR VEHICLE THEFT,STREET,0,0,21.0,498,6,16
2015-09-05,THEFT,DEPARTMENT STORE,1,0,21.0,498,6,29
2015-09-05,NARCOTICS,ALLEY,1,0,37.0,498,25,17
2015-09-05,THEFT,STREET,0,0,7.0,498,3,29
2015-09-01,THEFT,OTHER,0,0,3.0,66,2,29
2015-09-03,THEFT,SIDEWALK,0,0,45.0,104,16,29
2015-09-05,NARCOTICS,SIDEWALK,1,0,29.0,498,15,17
2015-09-05,OTHER OFFENSE,OTHER,0,1,13.0,498,8,22
2015-09-03,THEFT,RESIDENTIAL YARD (FRONT/BACK),0,0,4.0,104,2,29
2015-09-05,OTHER OFFENSE,SMALL RETAIL STORE,0,0,33.0,498,17,22
2015-09-04,MOTOR VEHICLE THEFT,STREET,0,0,29.0,179,25,16
2015-09-05,THEFT,RESIDENCE,0,0,11.0,498,9,29
2015-09-05,CRIMINAL TRESPASS,STREET,0,0,27.0,498,11,8
2015-09-05,CRIMINAL DAMAGE,STREET,0,0,47.0,498,19,6
2015-09-05,BATTERY,PARKING LOT/GARAGE(NON.RESID.),0,0,24.0,498,11,2
2015-09-05,THEFT,RESIDENCE-GARAGE,0,0,13.0,498,8,29
2015-09-05,BATTERY,SIDEWALK,1,0,24.0,498,10,2
2015-09-05,THEFT,SMALL RETAIL STORE,0,0,22.0,498,10,29
2015-09-03,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,0,9.0,104,5,20
2015-09-05,MOTOR VEHICLE THEFT,STREET,0,0,5.0,498,2,16
2015-09-05,BATTERY,APARTMENT,0,0,5.0,498,2,2
2015-09-05,BATTERY,GAS STATION,0,1,3.0,498,2,2
2015-04-08,THEFT,RESIDENCE,0,0,29.0,5,15,29
2015-09-05,BATTERY,APARTMENT,0,0,4.0,498,2,2
2015-09-05,ASSAULT,APARTMENT,1,0,28.0,498,11,1
2015-09-05,NARCOTICS,GAS STATION,1,0,24.0,498,11,17
2015-08-24,CRIMINAL DAMAGE,RESIDENCE,0,0,27.0,13,12,6
2015-09-03,THEFT,STREET,0,0,10.0,104,4,29
2015-09-05,BATTERY,SMALL RETAIL STORE,0,0,1.0,498,12,2
2015-09-04,THEFT,STREET,0,0,28.0,179,10,29
2015-07-07,OTHER OFFENSE,RESIDENCE,0,1,25.0,8,12,22
2015-09-05,BATTERY,RESIDENCE,0,1,24.0,498,10,2
2015-09-05,ROBBERY,STREET,0,0,24.0,498,10,26
2015-09-05,NARCOTICS,SIDEWALK,1,0,26.0,498,14,17
2015-09-05,ASSAULT,RESIDENCE PORCH/HALLWAY,0,0,7.0,498,4,1
2015-09-05,THEFT,STREET,1,0,7.0,498,4,29
