,Married,Education,LoanAmount,Loan_Status
1,1,0,128.0,0
2,1,0,66.0,1
3,1,1,120.0,1
4,0,0,141.0,1
5,1,0,267.0,1
6,1,1,95.0,1
7,1,0,158.0,0
8,1,0,168.0,1
9,1,0,349.0,0
10,1,0,70.0,1
11,1,0,109.0,1
12,1,0,200.0,1
13,0,0,114.0,0
14,1,0,17.0,1
15,0,0,125.0,1
16,0,1,100.0,1
17,0,0,76.0,0
18,1,1,133.0,0
19,1,0,115.0,1
20,1,1,104.0,0
21,1,0,315.0,1
22,1,1,116.0,0
23,1,1,112.0,0
24,1,0,151.0,0
25,1,0,191.0,1
26,1,0,122.0,1
27,1,1,110.0,1
28,0,1,35.0,0
29,0,0,120.0,1
30,1,0,201.0,0
31,0,0,74.0,0
32,0,0,106.0,0
33,1,0,114.0,1
34,0,0,320.0,0
36,1,0,100.0,0
37,1,0,144.0,1
38,0,0,184.0,1
39,0,1,110.0,1
40,0,0,80.0,0
41,0,0,47.0,1
42,1,0,75.0,1
43,1,0,134.0,1
44,1,1,96.0,1
45,0,0,88.0,1
46,1,0,44.0,1
47,1,0,144.0,1
48,1,0,120.0,0
49,0,0,144.0,1
50,1,1,100.0,1
51,0,0,120.0,1
52,0,0,112.0,0
53,1,0,134.0,0
54,1,0,286.0,0
55,1,0,97.0,1
56,1,0,96.0,1
57,1,0,135.0,0
58,1,0,180.0,1
59,1,1,144.0,1
60,1,0,120.0,1
61,1,0,99.0,1
62,1,1,165.0,0
64,0,0,116.0,0
65,1,0,258.0,0
66,0,1,126.0,0
67,1,0,312.0,1
68,1,1,125.0,1
69,0,0,136.0,0
70,1,0,172.0,1
71,1,1,97.0,1
72,0,0,81.0,1
73,1,1,95.0,0
74,1,0,187.0,1
75,0,0,113.0,0
76,0,0,176.0,0
77,1,0,110.0,0
78,1,0,180.0,0
79,1,1,130.0,1
80,0,0,111.0,1
82,1,0,167.0,0
83,1,0,265.0,0
84,1,0,50.0,1
85,0,0,136.0,1
